ticker,ticker_yf,mercado,janela,fonte
CCRO3,CCRO3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ECOR3,ECOR3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
VIVT3,VIVT3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
TIMS3,TIMS3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
B3SA3,B3SA3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
XPBR31,XPBR31.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
SLCE3,SLCE3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
AGRO3,AGRO3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
NVDA,NVDA,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
AAPL,AAPL,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
MSFT,MSFT,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
GOOGL,GOOGL,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
AMZN,AMZN,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
META,META,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
TSLA,TSLA,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
AVGO,AVGO,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ORCL,ORCL,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
AMD,AMD,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BRK-B,BRK-B,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
JPM,JPM,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
V,V,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
MA,MA,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BAC,BAC,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
LLY,LLY,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
JNJ,JNJ,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
UNH,UNH,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
XOM,XOM,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
CVX,CVX,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
WMT,WMT,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
COST,COST,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
PG,PG,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
TSM,TSM,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ASML,ASML,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
SAP,SAP,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
TM,TM,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BABA,BABA,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
2222.SR,2222.SR,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
9988.HK,9988.HK,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
005930.KS,005930.KS,Global,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
